Freight	Date	Original	Balance	Notes 													
4076686983	7/11/2017	$707.07 	$707.07 	Rejected by MJ due to incorrect pricing									4076686983	707.07 			
4244173765	7/13/2017	"$1,135.69 "	"$1,135.69 "	Rejected by MJ due to incorrect pricing									4244173765	"1,135.69 "			
2911054823	7/20/2017	"$1,177.68 "	"$1,177.68 "	Rejected by MJ due to incorrect pricing									2911504823	"1,177.68 "			
4076687646	7/11/2017	"$1,476.80 "	"$1,476.80 "	Rejected by MJ due to incorrect pricing									4076687646	"1,476.80 "			
4076687635	7/11/2017	"$1,643.37 "	"$1,643.37 "	Rejected by MJ due to incorrect pricing									4076687635	"1,643.37 "			
4273619232	7/20/2017	"$1,804.13 "	"$1,804.13 "	Rejected by MJ due to incorrect pricing									4273619232	"1,804.13 "			
4076687020	7/11/2017	"$1,827.14 "	"$1,827.14 "	Rejected by MJ due to incorrect pricing									4076687020	"1,827.14 "			
4076687053	7/12/2017	"$1,892.37 "	"$1,892.37 "	Rejected by MJ due to incorrect pricing									4076687053	"1,892.37 "			
4076687554	7/7/2017	"$2,040.70 "	"$2,040.70 "	Rejected by MJ due to incorrect pricing									4076687554	"2,040.70 "			
4076687156	7/11/2017	"$2,075.45 "	"$2,075.45 "	Rejected by MJ due to incorrect pricing									4076687156	"2,075.45 "			
4244173721	7/11/2017	"$2,369.26 "	"$2,369.26 "	Rejected by MJ due to incorrect pricing									4244173721	"2,369.26 "			
4076687650	7/12/2017	"$2,404.88 "	"$2,404.88 "	Rejected by MJ due to incorrect pricing									4076687650	"2,404.88 "			
4244173942	7/13/2017	"$2,487.24 "	"$2,487.24 "	Rejected by MJ due to incorrect pricing									4244173942	"2,487.24 "			
4076687576	7/11/2017	"$2,614.58 "	"$2,614.58 "	Rejected by MJ due to incorrect pricing									4076687576	"2,614.58 "			
4076687451	7/11/2017	"$2,649.96 "	"$2,649.96 "	Rejected by MJ due to incorrect pricing									4076687451	"2,649.96 "			
4076687495	7/7/2017	"$2,703.94 "	"$2,703.94 "	Rejected by MJ due to incorrect pricing									4076687495	"2,703.94 "			
4076687016	7/7/2017	"$2,925.65 "	"$2,925.65 "	Rejected by MJ due to incorrect pricing									4076687016	"2,925.65 "			
4076687510	7/7/2017	"$2,927.06 "	"$2,927.06 "	Rejected by MJ due to incorrect pricing									4076687510	"2,927.06 "			
4244174093	7/19/2017	"$2,951.11 "	"$2,951.11 "	Rejected by MJ due to incorrect pricing									4244174093	"2,951.11 "			
4244174056	7/19/2017	"$3,019.01 "	"$3,019.01 "	Rejected by MJ due to incorrect pricing									4244174056	"3,019.01 "			
4244173754	7/13/2017	"$3,071.72 "	"$3,071.72 "	Rejected by MJ due to incorrect pricing									4244173754	"3,071.72 "			
4076687613	7/11/2017	"$3,314.97 "	"$3,314.97 "	Rejected by MJ due to incorrect pricing									4076687613	"3,314.97 "			
4076687624	7/11/2017	"$3,470.91 "	"$3,470.91 "	Rejected by MJ due to incorrect pricing									4076687624	"3,470.91 "			
4076687661	7/13/2017	"$3,506.36 "	"$3,506.36 "	Rejected by MJ due to incorrect pricing									4076687661	"3,506.36 "			
4244173872	7/12/2017	"$3,509.41 "	"$3,509.41 "	Rejected by MJ due to incorrect pricing									4244173872	"3,509.41 "			
4244173861	7/11/2017	"$3,524.32 "	"$3,524.32 "	Rejected by MJ due to incorrect pricing									4244173861	"3,524.32 "			
4244173780	7/12/2017	"$3,548.58 "	"$3,548.58 "	Rejected by MJ due to incorrect pricing									4244173780	"3,548.58 "			
4076687484	7/7/2017	"$3,715.58 "	"$3,715.58 "	Rejected by MJ due to incorrect pricing									4076687484	"3,715.58 "			
4076687134	7/11/2017	"$3,768.20 "	"$3,768.20 "	Rejected by MJ due to incorrect pricing									4076687134	"3,768.20 "			
4076687672	7/12/2017	"$3,975.94 "	"$3,975.94 "	Rejected by MJ due to incorrect pricing									4076687672	"3,975.94 "			
4244173931	7/11/2017	"$4,098.25 "	"$4,098.25 "	Rejected by MJ due to incorrect pricing									4244173931	"4,098.25 "			
4244173920	7/27/2017	"$4,372.75 "	"$4,372.75 "	Rejected by MJ due to incorrect pricing									4244173920	"4,372.75 "			
4244174060	7/14/2017	"$6,481.86 "	"$6,481.86 "	Rejected by MJ due to incorrect pricing									4244174060	"6,481.86 "			
4076687123	7/11/2017	"$6,981.53 "	"$6,981.53 "	Rejected by MJ due to incorrect pricing									4076687123	"6,981.53 "			
4076687591	7/11/2017	"$7,408.64 "	"$7,408.64 "	Rejected by MJ due to incorrect pricing									4076687591	"7,408.64 "			
4244173776	7/11/2017	"$7,717.06 "	"$7,717.06 "	Rejected by MJ due to incorrect pricing									4244173776	"7,717.06 "			
																	
4076687823	8/9/2017	$454.05 	$454.05 		4076687823	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	454.05 				4076688022-1	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	52.45 
4244174432	8/10/2017	$478.09 	$52.45 		4244174432-1	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	52.45 				4076688055-1	2186 FedEx Freight	2010 Vendor Account Payables : Accounts Payable	Shipment	52.45 
